id,slug,pillar,wc,n_links,banned,banned_examples,alcohol_terms,score,action,title,link
1372,the-complete-guide-to-quiet-luxury,"fashion/style,guides",2654,0,1,bespoke,wine,58.2,halal-violation,The Complete Guide to Quiet Luxury: Why Stealth Wealth Is Reshaping Fashion in 2026,https://www.arahkaii.com/fashion/the-complete-guide-to-quiet-luxury/
1389,the-complete-guide-to-investment-dressing,"fashion/style,guides",1562,0,0,,cognac,60.2,halal-violation,The Complete Guide to Investment Dressing,https://www.arahkaii.com/fashion/the-complete-guide-to-investment-dressing/
1540,the-10-best-shows-of-milan-fashion-week-fw26-ranked,fashion/style,1633,0,0,,cocktail,60.2,halal-violation,"The 10 Best Shows of Milan Fashion Week FW26, Ranked",https://www.arahkaii.com/fashion/the-10-best-shows-of-milan-fashion-week-fw26-ranked/
1474,dopamine-dressing-science-mood-fashion,fashion/style,2505,0,0,,sake,60.2,halal-violation,The Science of Dressing for Joy: What Dopamine Dressing Actually Does to Your Mind,https://www.arahkaii.com/fashion/dopamine-dressing-science-mood-fashion/
688,editors-note-the-beginning-of-something-new,culture,1684,0,0,,sake,60.2,halal-violation,Editor’s Note: The Beginning of Something New,https://www.arahkaii.com/culture/editors-note-the-beginning-of-something-new/
1782,halal-fine-dining-singapore-2026,dining,2285,2,1,bespoke,wine,61.2,halal-violation,Best Halal Fine Dining Restaurants in Singapore (2026),https://www.arahkaii.com/dining/halal-fine-dining-singapore-2026/
983,southeast-asian-cities-digital-nomad-luxury-lifestyle-2,travel,718,0,1,vibrant,,60.2,heavy-refresh,The 5 Southeast Asian Cities Redefining the Digital Nomad Luxury Lifestyle,https://www.arahkaii.com/travel/southeast-asian-cities-digital-nomad-luxury-lifestyle-2/
830,the-conscious-luxury-manifesto-sustainable-living,"living,culture",784,0,1,now more than ever,,61.0,heavy-refresh,"The Conscious Luxury Manifesto: How to Travel, Dress and Live Sustainably Without Compromi",https://www.arahkaii.com/living/the-conscious-luxury-manifesto-sustainable-living/
1508,wired-earphones-fashion-trend-comeback-2026,fashion/style,1465,0,1,iconic,,61.2,heavy-refresh,Why Wired Headphones Are Back: Gen Z&#8217;s Most Unexpected Fashion Trend of 2026,https://www.arahkaii.com/fashion/wired-earphones-fashion-trend-comeback-2026/
1330,the-self-gift-guide-7-future-vintage-designer-bags-poised-to-become-classics,"fashion/style,guides",1799,0,1,iconic,,61.2,heavy-refresh,The Self-Gift Guide: 7 &#8216;Future Vintage&#8217; Designer Bags Poised to Become Classic,https://www.arahkaii.com/fashion/the-self-gift-guide-7-future-vintage-designer-bags-poised-to-become-classics/
1383,quiet-luxury-brands-worn-by-wealthy-insiders,fashion/style,1627,0,1,bespoke,,61.2,heavy-refresh,12 Quiet Luxury Brands That Wealthy Insiders Actually Wear,https://www.arahkaii.com/fashion/quiet-luxury-brands-worn-by-wealthy-insiders/
1665,korean-heritage-brands-renaissance,"fashion/style,culture",1869,0,0,,,63.2,heavy-refresh,The Quiet Renaissance of Korean Heritage Brands,https://www.arahkaii.com/fashion/korean-heritage-brands-renaissance/
1657,bts-songzio-lyrical-armor-arirang-concert,fashion/style,2141,0,0,,,63.2,heavy-refresh,Lyrical Armor: How Songzio Dressed BTS in Custom Concert Outfits for the Arirang Comeback,https://www.arahkaii.com/fashion/bts-songzio-lyrical-armor-arirang-concert/
1536,the-accidental-it-bag-inside-the-3-tote-that-broke-luxurys-playbook,"fashion/style,culture",1466,0,0,,,63.2,heavy-refresh,The Accidental It Bag: Inside the $3 Tote That Broke Luxury&#8217;s Playbook,https://www.arahkaii.com/fashion/the-accidental-it-bag-inside-the-3-tote-that-broke-luxurys-playbook/
1538,the-10-best-shows-of-new-york-fashion-week-fw26-ranked,fashion/style,1431,0,0,,,63.2,heavy-refresh,"The 10 Best Shows of New York Fashion Week FW26, Ranked",https://www.arahkaii.com/fashion/the-10-best-shows-of-new-york-fashion-week-fw26-ranked/
1539,the-10-best-shows-of-london-fashion-week-fw26-ranked,fashion/style,1934,0,0,,,63.2,heavy-refresh,"The 10 Best Shows of London Fashion Week FW26, Ranked",https://www.arahkaii.com/fashion/the-10-best-shows-of-london-fashion-week-fw26-ranked/
1532,korean-fashion-brands-2026,fashion/style,1980,0,0,,,63.2,heavy-refresh,10 Korean Fashion Brands Building Global Empires in 2026,https://www.arahkaii.com/fashion/korean-fashion-brands-2026/
1528,seoul-fashion-week-fw-2026,fashion/style,1441,0,0,,,63.2,heavy-refresh,Seoul Fashion Week F/W 2026: 5 Collections Defining the Future of K-Fashion,https://www.arahkaii.com/fashion/seoul-fashion-week-fw-2026/
1522,bts-individual-style-identities-luxury-brand-partnerships,"fashion/style,culture",1789,0,0,,,63.2,heavy-refresh,"Jimin&#8217;s Dior, V&#8217;s Celine, Jungkook&#8217;s Calvin Klein &#038; Chanel: Decodin",https://www.arahkaii.com/fashion/bts-individual-style-identities-luxury-brand-partnerships/
1497,beauty-best-chinese-makeup-brands,beauty,1591,0,0,,,63.2,heavy-refresh,"Best Chinese Makeup Brands 2026: Judydoll, Florasis &amp; C-Beauty Worth Buying",https://www.arahkaii.com/beauty/beauty-best-chinese-makeup-brands/
1467,c-beauty-vs-k-beauty-2026,beauty,1575,0,0,,,63.2,heavy-refresh,C-Beauty vs K-Beauty 2026: The New Asian Beauty Showdown,https://www.arahkaii.com/beauty/c-beauty-vs-k-beauty-2026/
1415,k-beauty-broke-the-algorithm,"beauty,culture",1522,0,0,,,63.2,heavy-refresh,K-Beauty Broke the Algorithm: How Korea Took Over Your Skincare Routine,https://www.arahkaii.com/beauty/k-beauty-broke-the-algorithm/
1379,kering-reports-revenue-decline-gucci-struggles,"fashion/style,culture",859,0,0,,,63.2,heavy-refresh,Kering Reports 15% Revenue Decline as Gucci Struggles With Brand Repositioning,https://www.arahkaii.com/fashion/kering-reports-revenue-decline-gucci-struggles/
1386,why-designer-collaborations-keep-failing-hm-gets-wrong,"fashion/style,culture",1752,0,0,,,63.2,heavy-refresh,Why Designer Collaborations Keep Failing—And What H&amp;M Gets Wrong,https://www.arahkaii.com/fashion/why-designer-collaborations-keep-failing-hm-gets-wrong/
1392,why-quiet-luxury-is-fashion-biggest-contradiction,"fashion/style,culture",1505,0,0,,,63.2,heavy-refresh,Why Quiet Luxury Is Fashion&#8217;s Biggest Contradiction,https://www.arahkaii.com/fashion/why-quiet-luxury-is-fashion-biggest-contradiction/
1361,kendrick-lamar-super-bowl-jeans-2-3-million-media-value,"fashion/style,culture",2541,0,0,,,63.2,heavy-refresh,The $2.3 Million Jeans: How Kendrick Lamar Turned Super Bowl LIX Into Fashion&#8217;s Most,https://www.arahkaii.com/fashion/kendrick-lamar-super-bowl-jeans-2-3-million-media-value/
1311,brightspot-supermrkt-2025-where-jakartas-creative-economy-comes-to-shop,fashion/style,1655,0,0,,,63.2,heavy-refresh,Brightspot SuperMRKT 2025: Where Jakarta&#8217;s Creative Economy Comes to Shop,https://www.arahkaii.com/fashion/brightspot-supermrkt-2025-where-jakartas-creative-economy-comes-to-shop/
1306,from-followers-to-founders-3-content-creators-building-empires-beyond-the-algorithm,people,1646,0,0,,,63.2,heavy-refresh,From Followers to Founders: 3 Content Creators Building Empires Beyond the Algorithm,https://www.arahkaii.com/people/from-followers-to-founders-3-content-creators-building-empires-beyond-the-algorithm/
1149,sukkhacitta-regenerative-fashion-indonesia-artisan-economics,"people,fashion/style",1368,0,0,,,63.2,heavy-refresh,The Twelve Women in Your Wardrobe: Inside SukkhaCitta&#8217;s Radical Reinvention of Fashi,https://www.arahkaii.com/people/sukkhacitta-regenerative-fashion-indonesia-artisan-economics/
1144,batik-blockchain-indonesia-textile-authenticity-technology,"fashion/style,culture",1777,0,0,,,63.2,heavy-refresh,The Batik Paradox: How Indonesia&#8217;s Ancient Textile Became a Battleground for Authent,https://www.arahkaii.com/fashion/batik-blockchain-indonesia-textile-authenticity-technology/
1129,humidity-resistant-makeup-science-tropical-climate,beauty,1303,0,0,,,63.2,heavy-refresh,The Chemistry of Lasting: How Humidity-Resistant Makeup Actually Works,https://www.arahkaii.com/beauty/humidity-resistant-makeup-science-tropical-climate/
999,energy-efficient-home-cooling-tropical-southeast-asia,living,1564,0,0,,,63.2,heavy-refresh,The 26-Degree Question: Rethinking Home Cooling in Tropical Southeast Asia,https://www.arahkaii.com/living/energy-efficient-home-cooling-tropical-southeast-asia/
902,jakarta-fashion-week-2025,fashion/style,1703,0,0,,,63.2,heavy-refresh,Jakarta Fashion Week 2025: Indonesia Declares Fashion Independence as Southeast Asia Finds,https://www.arahkaii.com/fashion/jakarta-fashion-week-2025/
847,seasonal-makeup-transition-summer-autumn-colors,beauty,2530,0,0,,,63.2,heavy-refresh,The Warmth Question: Why Your Summer Makeup Suddenly Feels Wrong (And What to Do About It),https://www.arahkaii.com/beauty/seasonal-makeup-transition-summer-autumn-colors/
763,modest-fashion-streetwear-southeast-asia-muslim-fashion-2025,"fashion/style,culture",1315,0,0,,,63.2,heavy-refresh,Covered and Cool: The Quiet Revolution Reshaping Muslim Modest Fashion in Southeast Asia,https://www.arahkaii.com/fashion/modest-fashion-streetwear-southeast-asia-muslim-fashion-2025/
805,the-ultimate-guide-to-finding-the-perfect-foundation-shade-for-southeast-asian-skin-tones,"beauty,guides",1878,0,0,,,63.2,heavy-refresh,The Ultimate Guide to Finding the Perfect Foundation Shade for Southeast Asian Skin Tones,https://www.arahkaii.com/beauty/the-ultimate-guide-to-finding-the-perfect-foundation-shade-for-southeast-asian-skin-tones/
723,asian-billionaire-philanthropy-quiet-revolution,culture,2322,0,0,,,63.2,heavy-refresh,The Quiet Titans: Inside the $3.7 Trillion Revolution Reshaping Asian Philanthropy,https://www.arahkaii.com/culture/asian-billionaire-philanthropy-quiet-revolution/
